artist,asin,media,review_count,star_rating,title,year,genre
Alcest,B07WY4NGYL,"Vinyl,Audio CD",186,4.8,Spiritual Instinct,2019,black metal
King Diamond,B086MJKZBZ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",185,4.8,Fatal Portrait,2022,black metal
Toxic Holocaust,B07VPQV9J6,"Audio CD,MP3 Music,Vinyl",183,4.8,Primal Future:2019,2019,black metal
Rotting Christ,B091GK5Z4K,"Vinyl,Audio CD",181,4.8,Kata Ton Daimona Eaytoy Ltd oxblood Red,2021,black metal
Belphegor,B08GYTR1G7,"Audio CD,MP3 Music,Vinyl",181,4.8,Necrodaemon Terrorsathan,2020,black metal
Sodom,B07ZW8Z3SF,"Audio CD,MP3 Music,Vinyl",181,4.8,Out Of The Frontline Trench,2020,black metal
Katatonia,B09HHH6HND,"Audio CD,MP3 Music,Vinyl",178,4.8,Brave Murder Day,2021,black metal
Satyricon,B091CFG5D7,"Vinyl,MP3 Music,Audio CD",172,4.8,Dark Medieval Times 2021,2022,black metal
Emperor,B07NHHSC7M,"Vinyl,MP3 Music,Audio CD",166,4.8,In The Nightside Eclipse Picture,2019,black metal
Mercyful Fate,B085RTHS58,"Audio CD,Vinyl",164,4.8,Nuns Have No Fun,2020,black metal
Mercyful Fate,B07J34Y56C,"Vinyl,MP3 Music,Audio CD",163,4.8,Dead Again Pisture,2019,black metal
Emperor,B08DPT8V9T,Vinyl,49,4.9,IX Equilibrium Half-Speed Master,2021,black metal
Borknagar,B09GKWJ2Z5,"Audio CD,MP3 Music",49,4.9,Borknagar 25th Anniversary 2021,2021,black metal
Inquisition,B01HRDH2MG,"Audio Cassette,Audio CD,Vinyl",49,4.9,Bloodshed Across The Empyrean Altar Beyond The Celestial Zenith,2016,black metal
Mercyful Fate,B07JVF7RF6,"Vinyl,MP3 Music,Audio CD",161,4.8,Into The Unknown Picture,2019,black metal
Celtic Frost,B07NRFKWT8,"Audio CD,Vinyl",159,4.8,To Mega Therion,2019,black metal
Emperor,B0058PZOHG,Audio CD,151,4.8,IX Equilibrium (Original Vinyl Edition),1999,black metal
Marduk,B08M2FZ8B8,"Audio CD,MP3 Music,Vinyl",149,4.8,Panzerdivision Marduk,2023,black metal
Finntroll,B089TV17F6,"Audio CD,MP3 Music,Vinyl",148,4.8,Vredesvävd,2020,black metal
Behemoth,B07G1YVGDT,"Vinyl,MP3 Music,Audio CD",806,4.8,I Loved You At Your Darkest,2018,black metal
Enslaved,B09QQNZ4MF,"Vinyl,MP3 Music,Audio CD",47,4.9,Vikingligr Veldi,2022,black metal
Cradle Of Filth,B0BT898KDD,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",802,4.8,Existence Is Futile - Purple,2023,black metal
Sepultura,B000000H7S,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",776,4.8,Arise,1991,black metal
