artist,asin,media,review_count,star_rating,title,year,genre
Deconstruction,B000002MPL,Audio CD,52,4.7,Deconstruction,1994,alternative metal
Amen,B00004YSBU,"Audio CD,MP3 Music",52,4.7,We Have Come for Your Parents,2000,alternative metal
Killswitch Engage,B0027LZ0GY,"Audio CD,MP3 Music",281,4.6,Killswitch Engage,2009,alternative metal
Probot,B00012M5S2,"Audio CD,MP3 Music,Vinyl",271,4.6,Probot,2004,alternative metal
Leaves' Eyes,B081RDXKM9,"Audio CD,MP3 Music,Vinyl",272,4.6,The Last Viking,2020,alternative metal
Riverside,B002QEISMA,"Audio CD,MP3 Music,Vinyl",270,4.6,Anno Domini High Definition,2009,alternative metal
Scars on Broadway,B001BMKOZW,"Audio CD,MP3 Music,Vinyl",268,4.6,Scars On Broadway,2008,alternative metal
Theatre of Tragedy,B08NZCQZBT,"Vinyl,MP3 Music,Audio CD",51,4.7,Theatre Of Tragedy,2022,alternative metal
Murderdolls,B00009VGQN,"Audio CD,MP3 Music,Vinyl",264,4.6,Beyond the Valley of the Murderdolls,2003,alternative metal
Various,B0012GMWKM,"Audio CD,MP3 Music",262,4.6,Judgement Night: Music from the Motion Picture,2008,alternative metal
Evanescence,B000666VKG,Audio CD,261,4.6,Anywhere But Home,2004,alternative metal
Van Der Graaf Generator,B007XYUMKE,"MP3 Music,Audio CD",260,4.6,H To He Who Am The Only One (First Pressing),1970,alternative metal
Various,B085KJ743R,Audio CD,259,4.6,100 Hits der 80er,2015,alternative metal
Van Der Graaf Generator,B007XY5L7S,"MP3 Music,Audio CD",254,4.6,The Least We Can Do Is Wave To Each Other,1970,alternative metal
Refused,B000005WYS,"Audio CD,MP3 Music,Vinyl",28,4.8,Everlasting,1997,alternative metal
Melvins,B00008ESGY,"Audio CD,MP3 Music,Vinyl",28,4.8,Ozma,2018,alternative metal
Grendel,B000PSJCQU,"Audio CD,MP3 Music",28,4.8,Harsh Generation,2007,alternative metal
Melvins,B00008ESH3,"Vinyl,MP3 Music,Audio CD",28,4.8,Dale Crover,2017,alternative metal
Rishloo,B000R7I9PY,"Audio CD,MP3 Music",28,4.8,Eidolon,2007,alternative metal
The Bronx,B000FZET4I,Audio CD,28,4.8,The Bronx,2006,alternative metal
The Bunny The Bear,B004Y4MS44,"Audio CD,MP3 Music",28,4.8,If You Don't Have Anything Nice To Say...,2011,alternative metal
ASP,B0010TAH44,Audio CD,28,4.8,Horror Vacui,2009,alternative metal
Pallbearer,B08CPDBHDM,"Audio CD,MP3 Music,Vinyl",248,4.6,Forgotten Days,2020,alternative metal
Soulfly,B00004Y6RI,"Audio CD,MP3 Music,Vinyl",245,4.6,Primitive,2000,alternative metal
Michael Schenker,B09WCHFKW1,"Vinyl,Audio CD",50,4.7,Universal Clear/Black Marbled,2022,alternative metal
Living Sacrifice,B08W7DPPGJ,Audio CD,50,4.7,Living Sacrifice,2021,alternative metal
Alien Ant Farm,B000FILWRC,"Audio CD,MP3 Music",50,4.7,Up In The Attic,2006,alternative metal
As Cities Burn,B0009ML1PW,"Audio CD,MP3 Music,Vinyl",50,4.7,Son I Loved You at Your,2005,alternative metal
Krypteria,B000JJS680,"Audio CD,MP3 Music",50,4.7,Bloodangel's Cry,2007,alternative metal
Voivod,B006PJCP1M,"Vinyl,MP3 Music,Audio CD",50,4.7,War And Pain,1984,alternative metal
Skunk Anansie,B000002B6V,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",243,4.6,Paranoid & Sunburnt,1995,alternative metal
Korn,B000MGUZRA,"Audio CD,MP3 Music",239,4.6,MTV Unplugged,2007,alternative metal
Coal Chamber,B000000H52,"Audio CD,MP3 Music,Audio, Cassette",238,4.6,Coal Chamber,1997,alternative metal
Stabbing Westward,B0000062GE,"Audio CD,MP3 Music",236,4.6,Darkest Days,1998,alternative metal
Mindless Self Indulgence,B000WC2UCW,"Audio CD,MP3 Music,Vinyl",237,4.6,You'll Rebel To Anything,2008,alternative metal
Dope,B00005R60Y,"Audio CD,MP3 Music",226,4.6,Life,2001,alternative metal
Fuel,B00004YC03,"Audio CD,MP3 Music,Audio, Cassette",224,4.6,Something Like Human,2000,alternative metal
Dredg,B0000ALFXX,"Audio CD,MP3 Music",224,4.6,El Cielo,2003,alternative metal
Glacier,B08J93HRVJ,"Vinyl,MP3 Music,Audio CD",49,4.7,Passing Of Time The,2020,alternative metal
Emmure,B002F3BQG2,"Audio CD,MP3 Music,Vinyl",49,4.7,Felony,2009,alternative metal
Lowrider,B00004XT0S,"Audio CD,MP3 Music",49,4.7,Ode To Io,2000,alternative metal
P.O.D.,B00000JZBU,"Audio CD,MP3 Music",221,4.6,Fundamental Elements of Southtown,1999,alternative metal
Never the Bride,B000002J3Y,"Audio CD,Audio, Cassette",219,4.6,Encomium: A Tribute to Led Zeppelin,1995,alternative metal
Eagles of Death Metal,B0001LJCMK,"Audio CD,MP3 Music",214,4.6,Peace Love Death Metal,2015,alternative metal
Union Underground,B000063206,"Audio CD,MP3 Music",215,4.6,WWF Forceable Entry,2002,alternative metal
Machine Head,B000000H4W,"Audio CD,MP3 Music,Audio, Cassette",213,4.6,The More Things Change...,1996,alternative metal
In Flames,B09JT1JTCJ,"Audio CD,MP3 Music",211,4.6,Whoracle,2021,alternative metal
The Chariot,B000BW8B4Y,"Audio CD,MP3 Music",19,4.9,Unsung,2005,alternative metal
Alabama Thunder Pussy,B000AL8VN2,"Audio CD,MP3 Music",19,4.9,River City Revival,2005,alternative metal
Nails,B00454U2G4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",48,4.7,Mood Swing,2007,alternative metal
Alice In Chains,B000UZ4COK,Audio CD,48,4.7,MTV Unplugged,2007,alternative metal
Rollins Band,B0000040P3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",206,4.6,Weight,1994,alternative metal
Walk in Darkness,B08ZBRK2TY,"Audio CD,MP3 Music",48,4.7,On the Road to Babylon,2021,alternative metal
36 Crazyfists,B0016J1NDC,"Audio CD,MP3 Music",48,4.7,Tide & Its Takers,2008,alternative metal
(Hed) Pe,B000EWBMDS,"Audio CD,MP3 Music",48,4.7,Back 2 Base X,2010,alternative metal
Haste the Day,B0001FGBUM,"Audio CD,MP3 Music",48,4.7,Burning Bridges,2004,alternative metal
Disciple,B000IONL8Q,"Audio CD,MP3 Music",48,4.7,Scars Remain,2006,alternative metal
Alkaloid,B09BGHX4ZR,"Vinyl,MP3 Music,Audio CD",48,4.7,Liquid Anatomy,2021,alternative metal
Cult of Luna,B0000AB15R,"Audio CD,MP3 Music,Vinyl",48,4.7,Cult of Luna,2003,alternative metal
Godflesh,B000NVI1HU,"Audio CD,MP3 Music,Vinyl",48,4.7,Hymns,2007,alternative metal
Godflesh,B000024372,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",203,4.6,Streetcleaner,2008,alternative metal
Living Colour,B00000274U,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",197,4.6,Time'S Up,1990,alternative metal
Black Flag,B004WTVP2C,"MP3 Music,Audio CD",196,4.6,My War (Original Vinyl),1983,alternative metal
Septicflesh,B09TWN296W,Vinyl,27,4.8,Modern Primitive Brown & Black Marbled,2022,alternative metal
Maylene and the Sons of Disaster,B002767SXM,"Audio CD,MP3 Music",27,4.8,III,2009,alternative metal
Opera Diabolicus,B09G71JYLQ,"Audio CD,MP3 Music,Vinyl",27,4.8,Death on a Pale Horse,2021,alternative metal
Earth Crisis,B000000IFU,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",27,4.8,Gomorrah's Season Ends,2014,alternative metal
Jesu,B000EMSOXE,"Audio CD,MP3 Music,Vinyl",27,4.8,Silver,2006,alternative metal
Carcass,B08L4FL7H3,"Audio CD,MP3 Music,Audio, Cassette",191,4.6,Swansong,2020,alternative metal
Monster Magnet,B000007QDK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",191,4.6,Powertrip,1998,alternative metal
Buckcherry,B002F4LJF4,"Audio CD,MP3 Music",192,4.6,Black Butterfly,2009,alternative metal
Drowning Pool,B0001M2DKM,"Audio CD,MP3 Music",189,4.6,Desensitized,2004,alternative metal
Dordeduh,B08WT73HMD,"Audio CD,MP3 Music,Vinyl",47,4.7,Har,2021,alternative metal
Sybreed,B000WC38OG,"Audio CD,MP3 Music",47,4.7,Antares,2008,alternative metal
Skindred,B013HC8L80,Audio CD,47,4.7,Volume,2022,alternative metal
Wumpscut,B000005OPZ,"Audio CD,MP3 Music,Vinyl",47,4.7,Embryodead,2097,alternative metal
Handsome,B000002BHV,"Audio CD,MP3 Music",47,4.7,Handsome,1997,alternative metal
Loudblast,B08J22K1NL,"Audio CD,MP3 Music,Vinyl",47,4.7,Manifesto,2020,alternative metal
Coheed and Cambria,B001QU0WGA,"Audio CD,Audio CD",47,4.7,Neverender: Children of the Fence Edition,2009,alternative metal
The Church,B007OG1XJ0,"MP3 Music,Audio CD",47,4.7,The Blurred Crusade,1982,alternative metal
Static-X,B001QWFUBK,"Audio CD,MP3 Music,Vinyl",187,4.6,Cult Of Static,2009,alternative metal
Dredg,B0009S2TEI,"Audio CD,MP3 Music",187,4.6,Catch Without Arms,2005,alternative metal
Cannibal Corpse,B00535OOUY,"MP3 Music,Audio CD",184,4.6,Evisceration Plague (Picture Disc),2009,alternative metal
Taproot,B000069KI1,"Audio CD,MP3 Music",183,4.6,Welcome,2002,alternative metal
The Pogues,B009AKM054,"Audio Cassette,Audio CD",181,4.6,Red Roses For Me,1984,alternative metal
Six Feet Under,B0096W4GVM,"MP3 Music,Audio CD",181,4.6,Maximum Violence,1999,alternative metal
Orgy,B00004YNGE,"Audio CD,MP3 Music",180,4.6,Vapor Transmission,2000,alternative metal
Taproot,B00004TTGI,"Audio CD,MP3 Music,Vinyl",180,4.6,Gift,2000,alternative metal
Oomph!,B001BJ83QW,Audio CD,179,4.6,Monster,2011,alternative metal
Bruce Dickinson,B0000258UQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",178,4.6,Skunkworks,1999,alternative metal
Primal Scream,B007A9IY1G,"MP3 Music,Audio CD",177,4.6,XTRMNTR,2000,alternative metal
Cat Power,B008EAO24S,"MP3 Music,Audio CD",176,4.6,Moon Pix,1998,alternative metal
Emmure,B089CSCMXB,"Audio CD,MP3 Music,Vinyl",175,4.6,Hindsight,2020,alternative metal
Danzig,B00002EPK7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",176,4.6,6:66 Satan's Child,1999,alternative metal
10 Years,B000ZJVFFA,"Audio CD,MP3 Music",175,4.6,Division,2008,alternative metal
Schattenmann,B07NRF2F7J,"Audio CD,MP3 Music",46,4.7,Epidemie,2019,alternative metal
Rise of the Northstar,B07FSWS4S4,"Audio CD,MP3 Music,Vinyl",174,4.6,Legacy Of Shi,2018,alternative metal
Union Underground,B00004UASO,"Audio CD,MP3 Music",173,4.6,... An Education in Rebellion,2000,alternative metal
Primal Fear,B08QBXWHQ8,"Vinyl,MP3 Music,Audio CD",170,4.6,I Will Be Gone,2021,alternative metal
Hans Zimmer,B00004T0NL,"Audio, Cassette,MP3 Music,Audio CD",169,4.6,Mission Impossible 2,2000,alternative metal
Calexico,B007PAE3JC,"MP3 Music,Audio CD",169,4.6,Feast Of Wire (Original Double LP Edition),2003,alternative metal
Lostprophets,B000FQJP28,"Audio CD,Audio CD",167,4.6,Liberation Transmission,2006,alternative metal
Flaw,B0001ZMX7C,"Audio CD,MP3 Music",165,4.6,Endangered Species,2004,alternative metal
