"artist","asin","media","review_count","star_rating","title","year","genre"
"Negură Bunget","B00L5V1P5M","MP3 Music,Audio CD","2","5","Inarborat Kosmos (Green Vinyl)",2014,"black metal"
"Drowning the Light","B00LWJC8QW","Audio CD,MP3 Music","1","4","To the End of Time",2007,"black metal"
"Cradle Of Filth","B00MDWKLUC","Audio Cassette,MP3 Music,Audio CD,Vinyl","352","4.8","Damnation And A Day",2002,"black metal"
"Mithotyn","B00MFY8FMO","MP3 Music,Audio CD","10","4.9","King of the Distant Forest",1998,"black metal"
"Einherjer","B00MH480WW","MP3 Music,Audio CD","14","4.7","Odin Owns Ye All",1998,"black metal"
"Hellhammer","B00NB40624","Vinyl","7","4.3","Apocalyptic Raids",1984,"black metal"
"VARATHRON","B00NG4B7SQ","Audio CD,MP3 Music,Vinyl","2","5","Untrodden Corridors of Hades",2014,"black metal"
"DEATHTRIP","B00NUJ75YW","Vinyl,MP3 Music,Audio CD","4","4.5","Deep Drone Master",2014,"black metal"
"Darkthrone","B00O4JCOVG","Audio CD,MP3 Music,Vinyl","541","4.8","Transilvian Hunger Set",2017,"black metal"
"Taake","B00OSRIK4Y","Audio CD,MP3 Music,Vinyl","34","4.7","Stridens Hus",2017,"black metal"
"Graveworm","B00P1P3FQ0","Audio CD,Audio CD","18","4.2","When Daylight's Gone",1997,"black metal"
"Sodom","B00P8G5JD4","Audio CD","27","4.8","5 Original Albums In 1 Box",2015,"black metal"
"Watain","B00PRL17GS","Audio, Cassette,MP3 Music,Audio CD,Vinyl","133","4.8","Lawless Darkness",2015,"black metal"
"Ragnarok","B00QVVDUKY","MP3 Music,Audio CD","7","5","In Nomine Satanas",2002,"black metal"
"Thulnar","B00R8N10UQ","Audio CD","3","4","Nightfall in Theros",2015,"black metal"
"Hecate Enthroned","B00TEA7TFQ","Vinyl","9","4.6","The Slaughter of Innocence, a Requiem for the Mighty Ltd. Edition",1997,"black metal"
"Satyricon","B00TGF94R0","Vinyl,MP3 Music,Audio CD,Audio DVD","124","4.7","Live At The Opera",2015,"black metal"
"LIFELOVER","B00TH0RC50","Vinyl,MP3 Music,Audio CD","33","4.7","Konkurs Clear Poster",2015,"black metal"
"FORGOTTEN TOMB","B00TJFHPTQ","Audio CD,MP3 Music,Vinyl","9","4.3","Hurt Yourself & The Ones You Love",2015,"black metal"
"Himinbjorg","B00TOEN35W","Audio CD,MP3 Music","2","4.3","Himinbjorg - Wyrd",2015,"black metal"
"Inquisition","B00TRPM5JI","Audio, Cassette,MP3 Music,Audio CD,Vinyl","78","4.9","Obscure Verses for T",2013,"black metal"
"HYPOTHERMIA","B00U0S0LNS","Audio CD,MP3 Music","4","5","Svartkonst",2015,"black metal"
