"artist","asin","media","review_count","star_rating","title","year","genre"
"Nifelheim","B001AYYJ3Y","Vinyl,MP3 Music,Audio CD","22","4.5","Servants of Darkness [Vinyl]",2015,"death metal"
"Borknagar","B001B07KPG","Audio CD,MP3 Music","15","5","For the Elements 1996-2006",2008,"death metal"
"Darkthrone","B001B0WL6E","Audio CD,MP3 Music,Audio CD,Vinyl","193","4.7","WALPURGISNACHT/HIS MAJESTY AT THE SWAMP/THE LAMENT OF GODS",2004,"death metal"
"The Acacia Strain","B001B1QU38","Audio CD,MP3 Music,Vinyl","122","4.8","Continent",2008,"death metal"
"Monstrosity","B001B58YNI","Audio CD,MP3 Music,Vinyl","47","4.6","Spirtual Apocalypse",2008,"death metal"
"Pagan Rites","B001B8139W","Audio CD,MP3 Music,Audio CD,Vinyl","18","4.8","Pagan Rites",1996,"death metal"
"Imperanon","B001B92DX6","Audio CD,MP3 Music","20","4.9","Stained 24-Bit Remastered Gold",2008,"death metal"
"Unanimated","B001BJ6648","Audio CD,MP3 Music,Vinyl","65","4.8","In the Forest of the Dreaming Dead",2009,"death metal"
"Holy Moses","B001BJ83GC","Audio CD,MP3 Music,Vinyl","9","5","Disorder of the Order",2010,"death metal"
"Soulfly","B001C54F4E","Vinyl,MP3 Music,Audio CD","104","4.6","Conquer",2008,"death metal"
"Swallow the Sun","B001CEYI60","Audio CD,MP3 Music,Vinyl","29","4.6","Plague of Butterflies",2008,"death metal"
"Amon Amarth","B001CISHU4","Audio CD,MP3 Music,Vinyl","857","4.8","Twilight of the Thunder God",2008,"death metal"
"Blood Ceremony","B001CKZTBM","Audio CD,Audio CD","67","4.8","Blood Ceremony",2019,"death metal"
"Insomnium","B001CKZTGW","Audio CD,MP3 Music,Vinyl","45","4.4","In The Shadow Of A Thousand Suns",2015,"death metal"
"Opeth","B001CO41UI","Vinyl,MP3 Music,Audio CD","44","4.7","My Arms, Your Hearse",2008,"death metal"
"Textures","B001CW7MDS","Audio CD,MP3 Music","16","4.7","Silhouettes",2008,"death metal"
"Miseration","B001D0RSHE","Audio CD,MP3 Music","12","4.7","Your Demons - Their Angels",2008,"death metal"
"Into Eternity","B001D25MPC","Audio CD,MP3 Music,Vinyl","29","4.5","Incurable Tragedy",2008,"death metal"
"Sonic Syndicate","B001DETGEI","Audio CD,MP3 Music,Vinyl","40","4.4","Love and Other Disasters",2008,"death metal"
"Equilibrium","B001DETGFW","Audio CD","8","5","Sagas",2008,"death metal"
"Benedection","B001DGSGK6","Audio CD,MP3 Music,Vinyl","48","4.7","Killing Music",2008,"death metal"
"Bison B.C.","B001DHC7UA","Audio CD,MP3 Music","9","4.9","Quiet Earth",2008,"death metal"
"Misery Index","B001DHC7UK","Audio CD,Audio CD","22","4.8","Traitors",2008,"death metal"
"White Skull","B001DMKREI","Audio CD,MP3 Music","15","4.8","Public Glory Secret Agony",2008,"death metal"
"Jesu","B001DO00Y8","MP3 Music,Audio CD","54","4.7","Jesu",2004,"death metal"
"Children of Bodom","B001DR9TN8","Audio CD,Audio CD","422","4.8","Hate Crew Deathroll",2008,"death metal"
"All Shall Perish","B001DSNFQY","Audio CD,MP3 Music","47","4.7","Awaken The Dreamers",2008,"death metal"
"Novembre","B001DU48BS","Audio CD,MP3 Music","19","4.6","Classica",2009,"death metal"
"Agathodaimon","B001DXBVGK","Audio CD,MP3 Music,Vinyl","15","4.8","Blacken The Angel Remastered Gold",2008,"death metal"
"Agathodaimon","B001DXBVGU","Audio CD,MP3 Music","13","4.8","Higher Art Of Rebellion Remastered Gold",2008,"death metal"
"Agathodaimon","B001DXBVHE","Audio CD,MP3 Music","23","4.6","Serpent's Embrace Remastered Gold",2008,"death metal"
"Meshuggah","B001DXBVKG","Audio CD,MP3 Music","56","4.8","Contradictions Collapse RELOADED",2012,"death metal"
"In Flames","B001DZA3PS","Audio CD","42","4.7","Whoracle: Reloaded",2009,"death metal"
"In Flames","B001DZA3Q2","Audio CD,MP3 Music","259","4.7","Colony: Reloaded",2009,"death metal"
"Psycroptic","B001DZA3R6","Audio CD,MP3 Music","35","4.5","Ob Servant",2012,"death metal"
