artist,asin,media,review_count,star_rating,title,year
Motörhead,B000A14OI8,"Audio CD,MP3 Music",136,4.9,BBC Live & in Session,2008
Inquisition,B08KMFYQMV,"Audio CD,MP3 Music,Vinyl",134,4.9,Black Mass for a Mass Grave,2020
King Buffalo,B09JVM31QY,"Vinyl,MP3 Music,Audio CD",130,4.9,Dead Star,2022
Helloween,B09RKMZDKR,"Vinyl,MP3 Music",126,4.9,Helloween Blue/White Marbled,2022
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008
Blind Guardian,B07FGQRF93,"Audio CD,Vinyl",124,4.9,Somewhere Far Beyond remixed 2012 / Remastered 2018,2018
Graveyard,B007VMSF6G,"Vinyl,MP3 Music,Audio CD",123,4.9,Graveyard,2012
Unleash the Archers,B06XYTMFBL,"Vinyl,MP3 Music,Audio CD",124,4.9,Apex,2017
King Diamond,B08FS37YN6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",123,4.9,The Dark Sides,2020
Five Finger Death Punch,B07W5CHDP4,Vinyl,122,4.9,Wrong Side Of Heaven V1,2019
Queens Of The Stone Age,B081DBRL7D,"Vinyl,MP3 Music,Audio CD",121,4.9,Songs For The Deaf - Exclusive Red & Black Marble Colored,2019
The Devil Wears Prada,B003TTZSWO,"Audio CD,MP3 Music",120,4.9,Zombie EP,2010
Audioslave,B00376AWFM,"Vinyl,Audio CD",119,4.9,Audioslave Ogv,2011
Within Temptation,B0B6L5DS8V,"Audio CD,MP3 Music,Vinyl",117,4.9,The Heart Of Everything Numbered Slipcase Edition w/ 3 Bonus Tracks,2022
Steve Vai,B002LBGB4A,"Audio CD,MP3 Music,Vinyl",117,4.9,Where The Wild Things Are,2009
Erra,B00IKM5N98,"Vinyl,MP3 Music,Audio CD",117,4.9,Augment,2014
Knocked Loose,B09RDZV4KQ,"Vinyl,MP3 Music,Audio CD",164,4.9,Knocked Loose – A Tear In The Fabric Of Life EP Red w/ Silver & Black Twist,2021
Theocracy,B005STGJTY,"Audio CD,MP3 Music,Vinyl",289,4.9,As the World Bleeds,2011
Flotsam & Jetsam,B01CE00Q8O,"Audio CD,MP3 Music,Vinyl",160,4.9,Flotsam And Jetsam,2016
Fates Warning,B07C5HNBNT,"Vinyl,MP3 Music,Audio CD",154,4.9,Live Over Europe,2018
Lorna Shore,B096TN98RV,"Vinyl,MP3 Music,Audio CD",153,4.9,...And I Return To Nothingness - EP,2021
Meshuggah,B00MFQTZ9Y,"Audio CD,Vinyl",150,4.9,I Remastered,2014
LIK,B08CWD67X4,"Vinyl,MP3 Music,Audio CD",149,4.9,Misanthropic Breed,2020
Lynyrd Skynyrd,B000B8I8I2,"Audio CD,Vinyl,Audio, Cassette",146,4.9,Gimme Back My Bullets,2006
The Exploited,B00005QTNK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",146,4.9,Punks Not Dead,2001
Archspire,B073VGQDMW,"Audio CD,MP3 Music,Vinyl",280,4.9,Relentless Mutation,2017
Devin Townsend,B08GV8VLZP,"Audio CD,MP3 Music,Vinyl",276,4.9,Order Of Magnitude: Empath Live Volume 1,2020
Death,B09FT5WDD2,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",261,4.9,The Sound Of Perseverance,2021
Black Label Society,B09BBX3L8L,"Audio CD,Vinyl",254,4.9,1919 Eternal,2021
Adolescents,B000001IMR,"Audio CD,MP3 Music,Vinyl",250,4.9,Adolescents,1997
The Story So Far,B07FDNT6JH,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",249,4.9,Proper Dose,2018
Avantasia,B00111WSNO,"Audio CD,Vinyl",244,4.9,Metal Opera Part I & Ii gold Edition,2011
Halestorm,B0B3HPJ8QR,"Vinyl,MP3 Music",236,4.9,"Halestorm - Back From The Dead (Clear Red Vinyl, Indie Exclusive, Explicit Content)",
Thy Art Is Murder,B07RY4B5C5,"Audio CD,Vinyl",142,4.9,Human Target,2019
Cult of Luna,B01BNLIQUU,"Audio CD,MP3 Music,Vinyl",143,4.9,Mariner,2016
Vanilla Ninja,B096LMTGYH,"Audio CD,MP3 Music,Vinyl",141,4.9,Encore,2021
Every Time I Die,B09CVJL3VQ,"Audio CD,Vinyl",230,4.9,Radical,2021
Trees Of Eternity,B01M018USX,"Audio CD,MP3 Music,Vinyl",227,4.9,Hour Of The Nightingale,2016
O'Reillys & The Paddyhats,B084Z4FZP2,"Audio CD,MP3 Music,Vinyl",224,4.9,Dogs On The Leash,2020
The Devil Wears Prada,B098GSYZC5,"Vinyl,MP3 Music,Audio CD",140,4.9,ZII,2022
Smash Into Pieces,B01MTJ3U81,"Audio CD,MP3 Music,Vinyl",138,4.9,Rise and Shine,2017
Ne Obliviscaris,B07PL9PYFZ,"Vinyl,MP3 Music,Audio CD",139,4.9,Citadel Ltd Ed.,2019
Swans,B000060OHW,"Audio CD,MP3 Music,Vinyl",137,4.9,The Great Annihilator,2002
Pantera,B08HRXQZFV,"Vinyl,MP3 Music,Audio CD",135,4.9,Reinventing The Steel Limited Silver Tracks,2021
Slo Burn,B000006M18,"Audio CD,MP3 Music,Vinyl",56,5,Amusing the Amazing,1997
Turbonegro,B000087DRK,"Audio CD,MP3 Music,Vinyl",222,4.9,Apocalypse Dudes,2003
Times of Grace,B0046BTZYQ,"Audio CD,MP3 Music",215,4.9,Hymn of a Broken Man,2011
Metallica,B0757G4WTT,"Vinyl,MP3 Music",213,4.9,Master Of Puppets Remastered Deluxe,2017
Mono Inc,B08HGRWC1K,"Vinyl,MP3 Music,Audio CD",90,5,Voices Of Doom Blue / Violet Transparent,2021
Terror,B003XQE0JU,"Audio CD,MP3 Music,Vinyl",90,5,Keepers Of The Faith DIGI,2012
Pink Floyd,B000091K1L,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",6906,4.9,Wish You Were Here,1975
Nirvana,B000003TB9,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4186,4.9,MTV Unplugged in New York,1994
Def Leppard,B000001FKY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4009,4.9,Hysteria,1987
Rammstein,B073G3ZLDJ,"Vinyl,MP3 Music,Audio CD",2883,4.9,Mutter,2017
System of a Down,B07FSVYRXJ,"Vinyl,Audio CD",2051,4.9,Toxicity,2018
Nirvana,B000WQW988,"DVD,HD DVD",1971,4.9,Nirvana: MTV Unplugged in New York,", et al."
Lynyrd Skynyrd,B000002P74,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1651,4.9,Second Helping,1997
Ice Nine Kills,B07H5VVLTY,"Vinyl,MP3 Music,Audio CD",1579,4.9,The Silver Scream Translucent Bloodshot,2018
Linkin Park,B00G2I2HNW,"Audio CD,MP3 Music,Vinyl",1521,4.9,Linkin Park - Hybrid Theory Brand New,2001
George Strait,B00ZYBI84U,DVD,1400,4.9,George Strait/The Cowboy Rides Away: Live from AT&T Stadium,
Rush,B000001ESN,"Audio CD,MP3 Music,Vinyl",1393,4.9,Permanent Waves,1997
Sabaton,B01GUBRPB4,"Audio CD,Audio DVD",1255,4.9,The Last Stand,2016
System of a Down,B004YESKU0,Audio CD,1220,4.9,System of a Down,2011
Iron Maiden,B00MGAE15C,"Vinyl,Audio CD",1197,4.9,Live After Death,2014
White Zombie,B000000OSQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1193,4.9,La Sexorcisto-Devil Music Vol. 1,1992
Sepultura,B084DGFLB8,"Vinyl,MP3 Music,Audio CD",1169,4.9,Beneath the Remains,2020
Spite,B071W94LQQ,"Audio CD,MP3 Music",71,5,Nothing Is Beautiful,2017
Death,B00IQFC15I,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1087,4.9,Leprosy,2014
Death,B01DD5N2KS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1054,4.9,Scream Bloody Gore,2016
Death,B01DD5N2TE,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1054,4.9,Scream Bloody Gore,2016
Death,B009INAGY0,"Audio CD,MP3 Music,Vinyl",1035,4.9,Spiritual Healing,2012
Death,B004XD03RK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",969,4.9,Human,2011
Pup,B00PU3AEOY,"Audio CD,Vinyl",210,4.9,Dream Is Over,2016
Slayer,B000062YB3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",924,4.9,South Of Heaven,2002
Coheed and Cambria,B00JRBGIIG,"Audio CD,Paperback",893,4.9,In Keeping Secrets Of Silent Earth: 3,2014
Allman Brothers Band,B0000ADY9I,"Audio CD,MP3 Music,Vinyl",862,4.9,At Fillmore East,2003
Stryper,B00FJ6F8IO,"Vinyl,MP3 Music,Audio CD",847,4.9,No More Hell to Pay,2013
MGLA,B015TKW0K8,"Audio CD,MP3 Music,Vinyl",208,4.9,Exercises In Futility,2015
Incubus,B000002BUY,Audio CD,204,4.9,Science,1997
Kärbholz,B01N9FYV2R,"Audio CD,MP3 Music,Vinyl",203,4.9,Uberdosis Leben,2019
I Prevail,B08HSB4M5D,"Audio CD,MP3 Music,Vinyl",195,4.9,POST TRAUMATIC,2020
Karnivool,B00080SE96,"Audio CD,MP3 Music,Vinyl",191,4.9,Themata,2005
Epica,B09H3C28Q8,"Audio CD,Vinyl",190,4.9,Omega Alive,2021
Black Sabbath,B018VEE4QW,"Audio CD,Vinyl",185,4.9,Paranoid,2016
Meshuggah,B07MGJ6YHY,Vinyl,53,5,Catch Thirtythree,2019
Unleash the Archers,B089M6J5PD,"Audio CD,Vinyl",827,4.9,Abyss,2022
System of a Down,B07FT3731L,"Vinyl,Audio CD",777,4.9,Hypnotize,2018
Slaughter to Prevail,B0B1F7KWBT,"Vinyl,MP3 Music",764,4.9,Kostolom,2022
Wardruna,B07G24NZDW,"Vinyl,MP3 Music,Audio CD",711,4.9,Runaljod Ragnarok,2019
Ice Nine Kills,B08KHFN76X,"Audio CD,MP3 Music,Vinyl",183,4.9,I Heard They KILL Live,2020
Boehse Onkelz,B0012UO17U,"Audio CD,MP3 Music",179,4.9,Live in Dortmund,2009
Knocked Loose,B0777FH28J,"Vinyl,MP3 Music,Audio CD",178,4.9,Pop Culture,2019
Lorna Shore,B0B7QLFT24,"Vinyl,Audio CD",178,4.9,Pain Remains - Ltd. Black,2022
Bloodbath,B00197X172,"Audio CD,MP3 Music,Vinyl",175,4.9,The Fathomless Mastery,2008
Septic Flesh,B004P7VHVA,"Vinyl,MP3 Music,Audio CD",173,4.9,The Great Mass,2016
Polaris,B0B42Y9932,"Vinyl,MP3 Music,Audio CD",166,4.9,The Death Of Me - Black And Pink Swirl,2022
Type O Negative,B00001IV8L,"Audio CD,MP3 Music,Audio, Cassette",447,4.9,World Coming Down,1999
BLACK SABBATH,B08DDK4T2M,"Audio CD,Vinyl",425,4.9,Paranoid,2020
Sepultura,B079JCM1MV,"Vinyl,MP3 Music,Audio CD",407,4.9,Arise Expanded Edition,2018
Seether,B009AVFROY,"Audio CD,MP3 Music,Vinyl",404,4.9,DISCLAIMER II,2004
Knocked Loose,B07S28VQH5,"Vinyl,MP3 Music,Audio CD",401,4.9,A Different Shade of Blue,2019
The Replacements,B0014IH1OK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",394,4.9,Let It Be Deluxe,2008
King Diamond,B0857CGSNM,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",379,4.9,Conspiracy,2020
Living Sacrifice,B0000508V0,"Audio CD,MP3 Music",62,5,The Hammering Process,2000
Tyler Bates,B000SUKPTI,"Audio CD,MP3 Music,Vinyl",324,4.9,Halloween Soundtrack 2007 Film,2007
CARPENTER BRUT,B00VH6S9M2,"Audio CD,MP3 Music,Vinyl",310,4.9,Trilogy,2016
AC/DC,B0000CDLL1,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",310,4.9,If You Want Blood You've Got It,2009
Anthrax,B07G1XX3NP,"Audio CD,MP3 Music,Vinyl",305,4.9,State Of Euphoria,2018
Villagers of Ioannina City,B084DGFQ56,"Vinyl,MP3 Music,Audio CD",304,4.9,Age of Aquarius,2022
Entombed,B00A81MG9Y,"Vinyl,MP3 Music,Audio CD",300,4.9,Left Hand Path - Remastered in Full Dynamic Range,2013
HELLOWEEN,B011TQNZ2I,"Vinyl,Audio CD",297,4.9,Keeper of the Seven Keys Part Two,2015
Archspire,B09C3D311X,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",290,4.9,Bleed the Future,2021
King Gizzard & the Lizard Wizard,B08LNLCJ73,"Audio CD,MP3 Music,Vinyl",680,4.9,Infest The Rats' Nest,2020
IRON MAIDEN,B0863TKWJY,Audio CD,637,4.9,Live After Death,2020
System of a Down,B07FVFD6HX,"Vinyl,MP3 Music,Audio CD",622,4.9,Steal This Album!,2018
Band-Maid,B01N2VNP2X,"Audio CD,MP3 Music,Vinyl",621,4.9,Just Bring It,2017
Pantera,B08HQ6CZ8H,Audio CD,589,4.9,Reinventing the Steel,2020
Brand New,B074ZX8N2Q,"Vinyl,MP3 Music,Audio CD",571,4.9,Science Fiction,2017
Sabaton,B01GUBRPKK,"Vinyl,MP3 Music,Audio CD",559,4.9,The Last Stand,2016
Band-Maid,B0788WXTPQ,"Audio CD,MP3 Music",556,4.9,World Domination,2018
Stryper,B014N6OX0O,"Vinyl,MP3 Music,Audio CD",549,4.9,Fallen,2015
Dethklok,B000UGG396,"Audio CD,MP3 Music,Vinyl",508,4.9,The Dethalbum,2007
Mercyful Fate,B085RP5SGK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",512,4.9,Melissa,2020
Unleash the Archers,B06XKBSY49,"Audio CD,MP3 Music",502,4.9,Apex,2022
Band-Maid,B014JT76A4,"Audio CD,MP3 Music",498,4.9,New Beginning,2015
Amon Amarth,B000HWXS2S,"Audio CD,MP3 Music,Vinyl",489,4.9,With Oden on Our Side,2006
Metallica & San Francisco Symphony,B08C9CZ47C,Vinyl,479,4.9,S&M2,2020
Lacuna Coil,B0784HYPHX,Audio CD,65,5,Presence Of The Past,2018
Hank Williams Jr.,B000000DAW,"Audio CD,MP3 Music,Vinyl",117,4.9,"Habits Old And New, Vol. 5",1995
SMASH INTO PIECES,B08F6JZ7T4,"Vinyl,Audio CD",116,4.9,Arcadia,2020
Hopesfall,B00007FOJJ,"Audio CD,MP3 Music",45,5,No Wings To Speak Of,2007
BackWordz,B01MSE5GOY,"Audio CD,MP3 Music",116,4.9,Veracity,2017
Wolves At The Gate,B07SBCM7VK,"Audio CD,MP3 Music,Vinyl",114,4.9,Eclipse,2019
Katatonia,B07C9D91G3,"Audio CD,MP3 Music,Audio CD,Vinyl",113,4.9,Sanctitude,2018
Voltaire,B000006NJM,"Audio CD,MP3 Music,Vinyl",111,4.9,Devil's Bris,1998
Crowbar,B00000JPDJ,"Audio CD,MP3 Music,Vinyl",110,4.9,Odd Fellows Rest,1999
Zeal & Ardor,B07N3RFXHZ,"Vinyl,MP3 Music,Audio CD",110,4.9,Live in London,2019
Allegaeon,B01JC0ZOHM,"Audio CD,MP3 Music,Vinyl",108,4.9,Allegaeon - Proponent For Sentience,2016
Gaerea,B09BY7XD8D,"Vinyl,MP3 Music,Audio CD",107,4.9,Limbo Ltd Clear & Black marbled,2021
Savatage,B000001C84,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",107,4.9,Dungeons Are Calling,1994
The Doors,B0000A1LSP,Audio CD,106,4.9,Complete Studio Recordings,2003
Friction,B00005UOO3,"Audio CD,MP3 Music",43,5,Friction,2004
Reverend Bizarre,B081KRFD57,"Vinyl,MP3 Music,Audio CD",43,5,IN THE RECTORY OF THE BIZARRE REVEREND,2020
,B09Q8YMLYK,"Audio CD,MP3 Music,Vinyl",104,4.9,Lost In The Waves (The Complete Editon),
Asphyx,B01JRJC4F8,"Audio CD,MP3 Music,Vinyl",103,4.9,Incoming Death,2016
Sabaton,B00TSOOYB0,"Audio CD,MP3 Music",103,4.9,Heroes Deluxe,2015
Immortal,B07HPY5SYH,"Vinyl,MP3 Music,Audio CD",103,4.9,Damned In Black Ltd. Ed. splatter,2018
Immolation,B015DIF8UK,"Vinyl,MP3 Music,Audio CD",103,4.9,Dawn of Possession,2015
Johnny Winter,B00008EN6L,Vinyl,100,4.9,3RD DEGREE,2022
Decapitated,B000060K8O,"Audio CD,MP3 Music",100,4.9,Nihility,2008
Thin Lizzy,3937406891,Audio CD,100,4.9,Vagabonds Kings Warriors,2011
Ozzy Osbourne,B000026X3R,"Audio CD,Vinyl",42,5,See You On The Other Side,
Blind Guardian,B07DXPQ3H1,Audio CD,98,4.9,Tales From The Twilight World Remixed 2012 / Remastered 2018,2018
Moonspell,B07D5ND78D,Audio CD,98,4.9,Lisboa Under The Spell,2018
Cannibal Corpse,B09CH25B33,Vinyl,97,4.9,Butchered At Birth,2021
Twisted Sister,B084DHZF4T,"Vinyl,Audio CD",97,4.9,Stay Hungry,2020
Rhapsody,B000067UO4,"Audio CD,MP3 Music,Vinyl",97,4.9,Power of the Dragonflame,2002
Led Zeppelin,B000008U7J,"Audio CD,Vinyl,Audio, Cassette",95,4.9,Immigrant Song / Hey Hey What Can I Do,1992
Cro-Mags,B000008EOX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",95,4.9,Age of Quarrel,1994
Kalmah,B000PE0GS2,"Audio CD,MP3 Music",41,5,Swamplord / They Will Return,2007
Insect Warfare,B001MT6HNW,"Audio CD,MP3 Music,Vinyl",41,5,World Extermination,2009
Colonel Les Claypool's Fearless Flying Frog Brigade,B00006IT6C,"Audio CD,Vinyl",93,4.9,Purple Onion,2002
Smithereens,B00000DRD5,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",93,4.9,Especially for You,1992
Blind Guardian,B07DXBTY7B,Vinyl,93,4.9,Somewhere Far Beyond,2018
Jawbreaker,B000001D1H,"Audio CD,MP3 Music,Vinyl",93,4.9,Unfun,1994
Rod Stewart,B000002LKZ,Audio CD,91,4.9,Rod Stewart Downtown Train,1990
Primordial,B0791WXVLC,"Audio CD,MP3 Music,Vinyl",91,4.9,Exile Amongst the Ruins,2018
Rotting Christ,B079BJTKCS,"Audio CD,MP3 Music",90,4.9,Their Greatest Spells,2018
WRATHCHILD AMERICA,B01J4APF9C,"Audio CD,MP3 Music,Audio, Cassette",90,4.9,Climbin The Walls,2016
Oranssi Pazuzu,B084DGQMZW,"Audio CD,MP3 Music,Vinyl",90,4.9,Mestarin Kynsi,2020
Nile,B07NRH6PQP,"Vinyl,MP3 Music,Audio CD",90,4.9,Ithyphallic,2019
Tangier,B00008EQ3M,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",90,4.9,Four Winds,1989
Savatage,B0973BC6M1,Vinyl,89,4.9,Sirens,2023
Melvins,B000051753,"Audio CD,MP3 Music,Vinyl",89,4.9,Gluey Porch Treatments,2015
Conan,B07DVGLWL8,"Audio CD,Vinyl",88,4.9,Existential Void Guardian,2022
D.R.I.,B0000017C6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",88,4.9,Definition,2005
Havok,B08BDWYGXG,Vinyl,87,4.9,Time Is Up Black/Blue w/ White & Yellow Swirl,2020
Dog Fashion Disco,B000EOTEFE,"Audio CD,MP3 Music,Vinyl",86,4.9,Adultery,2006
7 Seconds,B09328FGZ3,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",85,4.9,The Crew,2021
Miss May I,B0028ERC1G,"Audio CD,MP3 Music,Vinyl",84,4.9,Apologies Are For The Weak,2009
Voyager,B07X5GK2CC,"Audio CD,MP3 Music,Vinyl",82,4.9,Colours in the Sun,2019
Santana,B0000024XA,"Audio CD,Audio CD",82,4.9,Santana III,1995
Morbid Saint,B019OTOA76,"Audio CD,MP3 Music,Vinyl",82,4.9,Spectrum Of Death Extended Edition,2016
Ohgr,B0000589GD,"Audio CD,MP3 Music",82,4.9,Welt,2001
Lamb of God,B00AZC6H78,"Audio CD,Vinyl",82,4.9,Lamb of God: Wrath -- Super Deluxe Edition: 2xCD + Vinyl LP + USB Drive with exclusive bonus tracks,2009
Grave Digger,B088N3TLL6,"Vinyl,Audio CD",80,4.9,Rheingold,2020
Grave Digger,B088N6739Y,"Audio CD,Vinyl",80,4.9,Rheingold,2020
Behemoth,B099C3FS6R,"Audio CD,MP3 Music,Vinyl",79,4.9,Sventevith Storming Near the Baltic,2021
Crowbar,B00005N8VD,"Audio CD,MP3 Music,Vinyl",78,4.9,Sonic Excess In Its Purest Form,2001
Lorrie Morgan,B000003SRF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",78,4.9,Watch Me,1992
Inquisition,B00F2HW33I,"Audio CD,MP3 Music,Audio CD,Vinyl,Audio, Cassette",78,4.9,Obscure Verses for the Multiverse,2013
D.R.I.,B00000DTNF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",78,4.9,Four of a Kind,
Feuerschwanz,B087R5QB7Z,Vinyl,76,4.9,Das Elfte Gebot,2020
Life Divided,B081KRT14Z,"Audio CD,MP3 Music,Vinyl",76,4.9,Echoes,2020
Misery Index,B01N8XWE6K,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",76,4.9,The Killing Gods Ltd. Ed. clear,2017
Accept,B00DR2WDS0,"Audio CD,Vinyl",75,4.9,Metal Heart / Kaizoku-Ban: Live in Japan,2013
While She Sleeps,B07D55J8YC,"Audio CD,MP3 Music,Vinyl",75,4.9,You Are We (Special Edition),2018
While She Sleeps,B07CQP6RJW,"Vinyl,MP3 Music,Audio CD",75,4.9,You Are We,2018
Children of Bodom,B007R3B2AA,"Audio CD,MP3 Music,Vinyl",74,4.9,Holiday At Lake Bodom: 15 Years Of Wasted Youth,2012
HIM,B000V3GWYE,Audio CD,74,4.9,Digital Versatile Doom: Live at the Orpheum Theater,2008
Varials,B07WHMQDC9,"Audio CD,MP3 Music,Vinyl",73,4.9,In Darkness,2019
Aldious,B0858KTX9N,"Audio CD,MP3 Music",73,4.9,Evoke 2010-2020,2020
Inferi,B07B16RH9J,"Audio CD,MP3 Music",73,4.9,Revenant,2018
Nirvana,B0000088DC,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",14213,4.8,Nevermind,2013
AC/DC,B0000CF35G,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",13182,4.8,Back In Black,2003
Pink Floyd,B000002C1X,"Audio CD,Audio CD",12380,4.8,Wall,1979
Dimebag Darrell,B0765HZY6P,Audio CD,36,5,Dimevision Vol. 2 - Roll With It Or Get Rolled Over - PHOTO BOOK VERSION,2017
The Beatles,B000002UB4,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",16650,4.8,Abbey Road,1990
36 Crazyfists,B000FGFU1S,"Audio CD,MP3 Music,Vinyl",72,4.9,Rest Inside the Flames,2006
The Beatles,B000002UAV,"Audio Cassette,Multimedia CD",12757,4.8,Sgt. Pepper's Lonely Hearts Club Band,1990
Numenorean,B07NBD1R25,"Vinyl,MP3 Music,Audio CD",72,4.9,Adore,2019
Periphery,B08L7B18NG,"Vinyl,MP3 Music",36,5,Periphery,2020
AC/DC,B08PX93V6X,"Audio Cassette,MP3 Music,Audio CD,Vinyl",28547,4.8,Power Up,2020
Saga,B00006RYAQ,"Audio CD,Vinyl",72,4.9,In Transit,2003
Foo Fighters,B002PL5GTC,"Vinyl,MP3 Music,Audio CD",9314,4.8,Greatest Hits,2009
Led Zeppelin,B000002J09,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",8874,4.8,Led Zeppelin IV aka ZOSO,1994
Pearl Jam,B0000027RM,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",8596,4.8,TEN,1991
Metallica,B075795D51,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",7714,4.8,Master Of Puppets Remastered,2017
Linkin Park,B00F5YTHYQ,"Vinyl,Audio CD",7792,4.8,Hybrid Theory,2013
Queen,B01MF72HSY,Vinyl,7954,4.8,Greatest Hits,2016
Metallica,B0757DV91P,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",7714,4.8,Master Of Puppets (Remastered Expanded Edition),2017
Metallica,B01BUX7Z7Q,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",7502,4.8,Ride The Lightning Remastered,2016
Nirvana,B000000OU2,"Vinyl,MP3 Music,Audio CD",6393,4.8,MTV Unplugged in New York,2013
AC/DC,B0000CF35F,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",6337,4.8,Highway To Hell,2003
Five Finger Death Punch,B0823BCQMG,"Audio CD,MP3 Music,Vinyl",6768,4.8,F8,2020
JOURNEY,B000026A54,Audio CD,6426,4.8,Journey - Greatest Hits - Columbia - COL 463149 2,
The Beatles,B00004WNTW,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",6340,4.8,1967-1970,1994
Robin Williams,B00004UF0Y,"DVD,VHS Tape",6617,4.8,Bicentennial Man,", et al."
Meat Loaf,B000056VJ7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",6272,4.8,Bat Out Of Hell,2001
Slipknot,B07RWSH4BP,"Audio CD,Vinyl",6153,4.8,We Are Not Your Kind,2019
Oasis,B000002BBY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",6188,4.8,What's The Story Morning Glory?,1995
Led Zeppelin,B000002J01,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",6028,4.8,Led Zeppelin 1,1994
Black Sabbath,B00WASEEW0,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",5535,4.8,Paranoid,2015
Evanescence,B000089RVX,"Audio CD,MP3 Music,Vinyl",5471,4.8,Fallen,2003
Rage Against The Machine,B009A9EYUO,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",5093,4.8,Rage Against The Machine,2012
Metallica,B01BUX7YY0,"Vinyl,Audio CD",5047,4.8,Kill 'Em All Remastered,2016
Linkin Park,B00008H2LB,"Audio CD,MP3 Music,Vinyl",5205,4.8,Meteora,2003
Iron Maiden,B07X7TTQR7,"Audio CD,MP3 Music,Vinyl",5002,4.8,The Book of Souls,2019
Jimi Hendrix,B00000DHZJ,"Audio CD,MP3 Music,Vinyl",5183,4.8,Experience Hendrix: The Best of Jimi Hendrix,1998
Led Zeppelin,B000002JSN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",5149,4.8,Physical Graffiti,1994
Queen,B000VZBCWE,"DVD,Blu-ray,HD DVD",4915,4.8,Queen Rock Montreal + Live Aid,", et al."
Boston,B000002573,"Audio, Cassette,Audio CD,Vinyl,MiniDisc",4802,4.8,Boston,1990
Bon Jovi,B00436GNU8,"Audio CD,MP3 Music",4883,4.8,Greatest Hits,2010
Queen,B000W00Y0O,"HD DVD,Blu-ray,DVD",4915,4.8,Queen Rock Montreal & Live Aid,
Boston,B000002574,"MiniDisc,Audio CD,Vinyl,Audio, Cassette",4802,4.8,Boston,1993
ΤOOL,B000EULJLU,"Audio CD,MP3 Music",4538,4.8,10.000 Days,2006
ΤOOL,B000000992,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",4411,4.8,Undertow,1996
The Rolling Stones,B001WCN23W,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4608,4.8,Sticky Fingers,2009
Eagles,B000YDDUKU,"Audio CD,MP3 Music,Vinyl",4538,4.8,Very Best of,2007
ΤOOL,B00000098N,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",4163,4.8,Opiate,1996
Alice In Chains,B0000028M7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4176,4.8,Dirt,1992
The Doors,B0028ER4QE,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",4246,4.8,The Doors,2009
David Gilmour,B0007QS1VW,"DVD,VHS Tape",4208,4.8,Pink Floyd: Pulse [Region 2],", et al."
Ghost,B07BYWVM26,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4166,4.8,Prequelle,2018
