artist,asin,media,review_count,star_rating,title,year
Gloryhammer,B07NKVW2W1,"Audio CD,MP3 Music,Vinyl",509,4.8,Legends From Beyond the Galactic Terrorvortex,2022
Savatage,B09SNV6G22,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",509,4.8,Gutter Ballet,2023
Meshuggah,B01JO74HBM,"Audio CD,Vinyl",504,4.8,The Violent Sleep Of Reason,2016
Band-Maid,B01FFMSP9A,"Audio CD,MP3 Music,Vinyl",504,4.8,Brand New Maid,2016
Misfits,B086BPZG5N,"Audio CD,Audio CD,Vinyl",506,4.8,Walk Among Us and The Spot Sessions Demos,
Sepultura,B0846HXWFK,"Audio CD,MP3 Music",501,4.8,Quadra,2020
Pierce the Veil,B003J7HOJ6,"Audio CD,MP3 Music,Vinyl",499,4.8,Selfish Machines,2012
Heart,B001546PGS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",498,4.8,Dog & Butterfly,2008
Parkway Drive,B003N3R9V4,"Audio CD,MP3 Music,Vinyl",500,4.8,Deep Blue,2010
Mayhem,B07X6CB959,"Vinyl,MP3 Music,Audio CD",499,4.8,Daemon,2019
Loudness,B0000CNY4N,"Audio CD,MP3 Music,Vinyl",496,4.8,Thunder in the East,2003
Bon Jovi,B000001EC1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",494,4.8,Cross Road,1994
Dokken,B00UBZLIOG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",492,4.8,Back for the Attack,2015
Killswitch Engage,B000065894,"Audio CD,MP3 Music,Vinyl",493,4.8,Alive or Just Breathing,2002
Tom Petty,B000069KHZ,"Audio CD,MP3 Music,Vinyl",495,4.8,The Last DJ,2002
Dream Theater,B08JVLBW2Z,"Audio CD,MP3 Music,Vinyl",498,4.8,Distant Memories - Live in London Multibox,2020
Tom Petty,B00199PNR6,"Audio CD,Vinyl,Audio, Cassette",491,4.8,Greatest Hits,2008
Slipknot,B07JJ6HKLL,"Audio CD,MP3 Music",492,4.8,All Hope Is Gone 10th Anniversary,2018
Grand Funk Railroad,B00006GA4C,"Audio CD,MP3 Music,Audio, Cassette",492,4.8,Grand Funk,2002
The Pretenders,B000NA2ALY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",489,4.8,Learning to Crawl,2007
Light the Torch,B079JPFSGD,"Audio CD,MP3 Music,Vinyl",490,4.8,Revival,2018
Danzig,B000068GA4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",491,4.8,Danzig II: Lucifuge,2002
Foreigner,B000002J66,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",493,4.8,Records remastered,1995
Freddie Mercury,B01HHECGV2,"Vinyl,MP3 Music,Audio CD",494,4.8,Messenger Of The Gods: Singles Collection,2016
Krokus,B0000071GA,"Audio CD,Audio CD",487,4.8,Headhunter,2011
Sixx: A.M.,B004UBKRTE,"Audio CD,MP3 Music",491,4.8,This Is Gonna Hurt,2016
Exodus,B01G28PCQ0,"Audio CD,MP3 Music,Vinyl",484,4.8,Tempo Of The Damned: Shovel Headed Kill Machine,2016
Iron Maiden,B0017KVXSK,Vinyl,482,4.8,Somewhere Back in Time: The Best of 1980-1989,2008
Avatar,B006UFH9JE,"Audio CD,MP3 Music,Vinyl",487,4.8,BLACK WALTZ,2012
Motörhead,B000024HF6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",481,4.8,Sacrifice,2010
Firehouse,B000MCICG0,Audio CD,484,4.8,Super Hits,2006
Flotsam & Jetsam,B091WM9H95,"Audio CD,MP3 Music,Vinyl",480,4.8,Blood In The Water,2021
Status Quo,B00076NYGY,"Audio CD,Vinyl",481,4.8,Live: STATUS QUO,2005
Brothers of Metal,B09K26HZNT,"Vinyl,MP3 Music,Audio CD",480,4.8,Prophecy Of Ragnarok,2022
Motörhead,B09BM8G84T,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",484,4.8,Overnight Sensation Green Smoke Splatter,2021
John Mellencamp,B0009IW9D4,"Audio CD,MP3 Music,Vinyl",480,4.8,Scarecrow Remastered,2005
Venom,B0B7QGSBK3,"DVD,MP3 Music,Audio CD,Vinyl",480,4.8,In Nomine Satanas,
Venom,B07Q5CQFLL,"Vinyl,MP3 Music,Audio CD",480,4.8,In Nomine Satanas,2019
Asphyx,B08MSLX4KF,"Vinyl,Audio CD",477,4.8,Necroceros black Poster,2021
Badlands,B000008D4D,"Audio CD,Vinyl,Audio, Cassette",474,4.8,Badlands,
Slipknot,B00N0T3PJG,Vinyl,477,4.8,.5: The Gray Chapter,2014
Foreigner,B000NDEXNE,"Audio CD,Vinyl",472,4.8,Greatest Hits,2007
Stormkeep,B09FTFD59P,"Audio CD,MP3 Music,Vinyl",62,4.9,Tales Of Othertime,2022
REO Speedwagon,B000051Y0I,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",475,4.8,You Can Tune a Piano But You Can't Tuna Fish,2000
Led Zeppelin,B000002IWP,Audio CD,473,4.8,The Complete Studio Recordings,1993
The Ghost Inside,B087FF6SRP,"Audio CD,MP3 Music,Vinyl",470,4.8,The Ghost Inside,2020
Celtic Frost,B0BMP99XV1,"Vinyl,MP3 Music,Audio CD",471,4.8,Morbid Tales,2023
Lamb of God,B003FN5ZGS,Audio CD,62,4.9,Hourglass: The Anthology,2010
Emperor,B08DPV71GH,Vinyl,62,4.9,In The Nightside Eclipse Half-Speed Master,2021
69 Eyes,B00TI0I1PO,Audio CD,62,4.9,Best of Helsinki Vampires,2015
HIM,B009LEX75G,"Vinyl,Audio CD",466,4.8,XX: Two Decades of Love Metal,2012
